Company Name,Ticker,Index
NTPC Ltd,NTPC,Nifty 50
Trent Ltd,TRENT,Nifty 50
Power Grid Corporation of India Ltd,POWERGRID,Nifty 50
Kotak Mahindra Bank Ltd Fully Paid Ord. Shrs,KOTAKBANK,Nifty 50
Maruti Suzuki India Ltd,MARUTI,Nifty 50
Tech Mahindra Ltd,TECHM,Nifty 50
Coal India Ltd,COALINDIA,Nifty 50
Larsen and Toubro Ltd,LT,Nifty 50
Eicher Motors Ltd,EICHERMOT,Nifty 50
Reliance Industries Ltd,RELIANCE,Nifty 50
Adani Ports and Special Economic Zone Ld,ADANIPORTS,Nifty 50
State Bank of India,SBIN,Nifty 50
HCL Technologies Ltd,HCLTECH,Nifty 50
Infosys Ltd,INFY,Nifty 50
UltraTech Cement Ltd,ULTRACEMCO,Nifty 50
Bharti Airtel Ltd,BHARTIARTL,Nifty 50
Tata Consultancy Services,TCS,Nifty 50
Hindustan Unilever Ltd,HINDUNILVR,Nifty 50
Hero Motocorp Ltd,HEROMOTOCO,Nifty 50
Grasim Industries Ltd,GRASIM,Nifty 50
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Nifty 50
Britannia Industries Ltd,BRITANNIA,Nifty 50
JSW Steel Ltd,JSWSTEEL,Nifty 50
ITC limited,ITC,Nifty 50
Hindalco Industries Ltd,HINDALCO,Nifty 50
Indusind Bank Ltd,INDUSINDBK,Nifty 50
Cipla Ltd,CIPLA,Nifty 50
Titan NV,TITAN,Nifty 50
HDFC Bank Ltd,HDFCBANK,Nifty 50
Wipro Ltd,WIPRO,Nifty 50
ICICI Bank Ltd,ICICIBANK,Nifty 50
Adani Enterprises Ltd,ADANIENT,Nifty 50
Tata Steel Ltd,TATASTEEL,Nifty 50
Dr Reddy's Laboratories Ltd,DRREDDY,Nifty 50
Nestle India Ltd,NESTLEIND,Nifty 50
Asian Paints Ltd,ASIANPAINT,Nifty 50
Bajaj Auto Limited,BAJAJ-AUTO,Nifty 50
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Nifty 50
Bentley Capital Ltd,BEL,Nifty 50
Oil and Natural Gas Corporation Ltd,ONGC,Nifty 50
Bharat Petroleum Corporation Ltd,BPCL,Nifty 50
Tata Motors Ltd,TATAMOTORS,Nifty 50
Tata Consumer Products Ltd,TATACONSUM,Nifty 50
HDFC Life Insurance Company Ltd,HDFCLIFE,Nifty 50
Sbi Life Insurance Company Ltd,SBILIFE,Nifty 50
Shriram Finance Ltd,SHRIRAMFIN,Nifty 50
Bajaj Finance Ltd,BAJFINANCE,Nifty 50
Bajaj Finserv Ltd,BAJAJFINSV,Nifty 50
Axis Bank Ltd,AXISBANK,Nifty 50
Mahindra And Mahindra Ltd,M&M,Nifty 50
Axis Bank Ltd,AXISBANK,Sensex
Zomato Ltd,ZOMATO,Sensex
Tata Motors Ltd,TATAMOTORS,Sensex
Tata Consultancy Services,TCS,Sensex
Reliance Industries Ltd,RELIANCE,Sensex
NTPC Ltd,NTPC,Sensex
Titan NV,TITAN,Sensex
Adani Ports and Special Economic Zone Ld,ADANIPORTS,Sensex
Bajaj Finserv Ltd,BAJAJFINSV,Sensex
Tata Steel Ltd,TATASTEEL,Sensex
ITC Limited",ITC,Sensex
Maruti Suzuki India Ltd,MARUTI,Sensex
HCL Technologies Ltd,HCLTECH,Sensex
State Bank of India,SBIN,Sensex
HDFC Bank Ltd,HDFCBANK,Sensex
Bharti Airtel Ltd,BHARTIARTL,Sensex
Mahindra And Mahindra Ltd,M&M,Sensex
Hindustan Unilever Ltd,HINDUNILVR,Sensex
Larsen and Toubro Ltd,LT,Sensex
Asian Paints Ltd,ASIANPAINT,Sensex
Nestle India Ltd,NESTLEIND,Sensex
Infosys Ltd,INFY,Sensex
UltraTech Cement Ltd,ULTRACEMCO,Sensex
Bajaj Finance Ltd,BAJFINANCE,Sensex
Indusind Bank Ltd,INDUSINDBK,Sensex
ICICI Bank Ltd,ICICIBANK,Sensex
Power Grid Corporation of India Ltd,POWERGRID,Sensex
Kotak Mahindra Bank Ltd Fully Paid Ord. Shrs,KOTAKBANK,Sensex
Tech Mahindra Ltd,TECHM,Sensex
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Sensex